                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3608,                 1.4207,                0.96551,                0.43214,                0.32255,                0.31913,                0.19231,                 1.2386,                0.99279,                0.90913,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.3348,                 1.0434,                0.93478,                0.46078,                0.34122,                  0.344,                  0.201,                 1.2954,                0.97235,                0.91285,              0.0065925,              0.0065925,              0.0065925
                      3,                 1.3798,                 1.0442,                  0.941,                0.44041,                0.34141,                0.33825,                0.19984,                 1.3085,                 1.0282,                0.91715,              0.0097939,              0.0097939,              0.0097939
                      4,                 1.3883,                 1.0238,                0.94387,                0.44011,                0.33713,                0.33798,                0.19696,                 1.2954,                 1.0052,                0.92288,               0.009703,               0.009703,               0.009703
                      5,                 1.3496,                0.98849,                  0.939,                0.44577,                0.35736,                0.34698,                0.20781,                 1.2717,                0.96213,                0.91682,               0.009703,               0.009703,               0.009703
                      6,                 1.3265,                0.95367,                0.93378,                0.48676,                0.35217,                0.36062,                0.21918,                 1.2412,                0.93749,                0.90994,               0.009604,               0.009604,               0.009604
                      7,                 1.3106,                0.93683,                0.92758,                0.48635,                0.35893,                0.36953,                0.21968,                 1.2495,                0.91959,                0.91095,               0.009505,               0.009505,               0.009505
                      8,                 1.2888,                0.91716,                0.92557,                0.50227,                0.36355,                0.37975,                0.22425,                 1.2403,                0.90395,                0.90795,               0.009406,               0.009406,               0.009406
                      9,                 1.2741,                 0.8969,                0.91991,                0.49424,                0.37043,                0.38524,                0.23455,                 1.2155,                0.88424,                  0.902,               0.009307,               0.009307,               0.009307
                     10,                 1.2579,                0.88141,                0.91784,                0.49924,                0.38282,                0.39363,                0.23865,                 1.2096,                0.87768,                0.90113,               0.009208,               0.009208,               0.009208
                     11,                  1.251,                0.86192,                0.91289,                0.49741,                0.38798,                0.39878,                0.23942,                 1.2022,                0.86828,                0.89885,               0.009109,               0.009109,               0.009109
                     12,                 1.2338,                0.85406,                0.90924,                0.50744,                0.38564,                0.39931,                0.24218,                 1.1953,                0.86481,                0.89712,                0.00901,                0.00901,                0.00901
                     13,                 1.2319,                0.83909,                0.91044,                0.52799,                0.38471,                0.40208,                0.24594,                 1.1867,                0.86031,                0.89339,               0.008911,               0.008911,               0.008911
                     14,                 1.2169,                0.82825,                0.90723,                0.51676,                0.41032,                0.41774,                0.25239,                 1.1875,                 0.8371,                0.89506,               0.008812,               0.008812,               0.008812
                     15,                 1.2094,                0.81255,                0.90712,                0.52949,                0.41219,                0.42109,                0.25441,                 1.1805,                0.83836,                0.89417,               0.008713,               0.008713,               0.008713
                     16,                 1.1916,                 0.7992,                 0.9012,                0.53608,                0.39991,                0.41924,                0.25369,                  1.176,                0.83159,                0.89342,               0.008614,               0.008614,               0.008614
                     17,                 1.1965,                0.80106,                0.90225,                0.53449,                0.41079,                0.42835,                0.26224,                 1.1716,                 0.8233,                 0.8906,               0.008515,               0.008515,               0.008515
                     18,                 1.1903,                0.78534,                0.90357,                 0.5378,                0.41832,                0.42752,                0.25961,                 1.1623,                0.81958,                0.89007,               0.008416,               0.008416,               0.008416
                     19,                 1.1825,                0.78051,                0.89811,                 0.5351,                0.41681,                0.43534,                0.26487,                 1.1603,                0.81317,                0.88736,               0.008317,               0.008317,               0.008317
                     20,                 1.1701,                0.76587,                0.89594,                0.53868,                0.41767,                0.43091,                0.26005,                 1.1663,                0.81723,                0.88987,               0.008218,               0.008218,               0.008218
                     21,                 1.1741,                0.77108,                0.89536,                0.54653,                0.41516,                0.43517,                0.26387,                 1.1576,                0.80523,                0.88919,               0.008119,               0.008119,               0.008119
                     22,                 1.1611,                0.75414,                0.89409,                0.54464,                 0.4138,                0.43146,                0.26427,                 1.1582,                0.81842,                0.89011,                0.00802,                0.00802,                0.00802
                     23,                   1.16,                0.74888,                0.89238,                0.55614,                 0.4192,                0.43913,                0.26649,                 1.1515,                0.80629,                0.88668,               0.007921,               0.007921,               0.007921
                     24,                 1.1562,                0.74196,                0.89289,                0.55169,                0.42447,                0.44354,                0.27115,                 1.1455,                0.80081,                0.88497,               0.007822,               0.007822,               0.007822
                     25,                 1.1461,                0.73385,                0.88979,                0.56576,                0.42304,                0.44412,                0.27175,                 1.1505,                0.80069,                0.88554,               0.007723,               0.007723,               0.007723
                     26,                 1.1432,                0.72739,                0.88838,                0.54937,                0.42874,                0.44493,                0.27346,                 1.1528,                0.80054,                 0.8862,               0.007624,               0.007624,               0.007624
                     27,                 1.1411,                0.72276,                0.88837,                0.55897,                0.42801,                0.44676,                0.27301,                 1.1492,                 0.8009,                0.88683,               0.007525,               0.007525,               0.007525
                     28,                 1.1396,                0.72152,                0.88906,                0.54301,                 0.4251,                0.44398,                0.27203,                 1.1448,                0.79943,                0.88571,               0.007426,               0.007426,               0.007426
                     29,                 1.1331,                0.71105,                0.88584,                0.54991,                0.42592,                0.44482,                0.27307,                 1.1421,                0.79415,                0.88513,               0.007327,               0.007327,               0.007327
                     30,                 1.1252,                0.70077,                0.88347,                0.55232,                0.43202,                0.44808,                0.27342,                 1.1444,                0.79602,                0.88561,               0.007228,               0.007228,               0.007228
                     31,                 1.1209,                0.69837,                0.88339,                0.57101,                0.42504,                0.45049,                0.27734,                 1.1383,                0.78591,                0.88733,               0.007129,               0.007129,               0.007129
                     32,                 1.1176,                 0.6889,                0.88417,                 0.5582,                0.42591,                0.44783,                0.27355,                 1.1411,                0.78617,                0.88589,                0.00703,                0.00703,                0.00703
                     33,                 1.1177,                0.68997,                 0.8835,                0.55785,                0.42561,                0.44985,                0.27536,                 1.1349,                0.79491,                0.88427,               0.006931,               0.006931,               0.006931
                     34,                 1.1121,                0.68297,                0.88247,                0.57377,                0.43302,                0.45601,                0.28221,                 1.1341,                0.78223,                  0.882,               0.006832,               0.006832,               0.006832
                     35,                 1.1052,                0.67834,                0.88016,                0.57161,                0.42516,                0.45025,                0.27625,                  1.144,                0.78827,                0.88477,               0.006733,               0.006733,               0.006733
                     36,                 1.1023,                0.67361,                0.87905,                0.57255,                0.42682,                0.45248,                 0.2766,                 1.1342,                0.78834,                0.88279,               0.006634,               0.006634,               0.006634
                     37,                 1.0943,                 0.6638,                0.87929,                 0.5672,                0.43774,                0.45803,                 0.2815,                 1.1266,                0.77923,                0.88102,               0.006535,               0.006535,               0.006535
                     38,                 1.0964,                0.66086,                 0.8771,                0.54463,                0.44692,                0.45669,                0.28014,                 1.1264,                0.79014,                0.88149,               0.006436,               0.006436,               0.006436
                     39,                 1.0976,                   0.66,                0.87664,                0.56809,                0.43034,                0.45434,                0.27903,                 1.1285,                 0.7913,                0.88094,               0.006337,               0.006337,               0.006337
                     40,                 1.0923,                0.65431,                0.87621,                0.56752,                0.42764,                0.45522,                0.27851,                 1.1333,                0.78314,                0.88398,               0.006238,               0.006238,               0.006238
                     41,                 1.0831,                0.64801,                0.87506,                0.57351,                0.44511,                0.46115,                0.28322,                 1.1361,                0.78009,                0.88163,               0.006139,               0.006139,               0.006139
                     42,                 1.0794,                0.64003,                0.87534,                0.57519,                0.43904,                 0.4603,                0.28381,                 1.1231,                0.78096,                0.87884,                0.00604,                0.00604,                0.00604
                     43,                 1.0764,                0.63692,                0.87322,                0.57437,                0.43535,                0.45644,                0.28033,                 1.1365,                0.79216,                0.88495,               0.005941,               0.005941,               0.005941
                     44,                 1.0737,                0.63204,                0.87255,                0.56889,                0.43479,                0.45508,                0.28199,                 1.1222,                0.79035,                0.88159,               0.005842,               0.005842,               0.005842
                     45,                 1.0683,                0.62621,                0.87026,                0.55688,                0.43968,                0.45406,                0.28081,                 1.1243,                0.79129,                0.88096,               0.005743,               0.005743,               0.005743
                     46,                 1.0704,                0.62352,                0.87234,                 0.5585,                0.44526,                0.45722,                0.28023,                 1.1301,                0.78768,                0.88089,               0.005644,               0.005644,               0.005644
                     47,                 1.0611,                0.61771,                0.86984,                0.56746,                0.43922,                0.45943,                0.28424,                 1.1225,                0.78105,                0.87884,               0.005545,               0.005545,               0.005545
                     48,                 1.0598,                0.61356,                0.86853,                0.56711,                 0.4357,                0.45367,                0.27826,                 1.1304,                0.78744,                0.88188,               0.005446,               0.005446,               0.005446
                     49,                 1.0549,                0.60917,                0.86904,                0.57312,                0.43803,                0.45628,                0.28191,                 1.1281,                0.78583,                 0.8817,               0.005347,               0.005347,               0.005347
                     50,                 1.0435,                0.59914,                0.86728,                 0.5727,                0.43756,                 0.4585,                0.28146,                 1.1265,                0.78651,                0.88143,               0.005248,               0.005248,               0.005248
                     51,                 1.0441,                0.59866,                0.86568,                0.58373,                0.43194,                0.45881,                0.28138,                 1.1256,                0.78854,                0.88253,               0.005149,               0.005149,               0.005149
                     52,                 1.0358,                0.59056,                0.86388,                0.57427,                0.44452,                0.46256,                0.28543,                 1.1223,                0.78545,                0.88179,                0.00505,                0.00505,                0.00505
                     53,                 1.0369,                0.59111,                0.86423,                0.58369,                 0.4396,                0.46351,                0.28524,                 1.1262,                0.78514,                0.88318,               0.004951,               0.004951,               0.004951
                     54,                 1.0352,                0.58855,                0.86321,                0.57121,                0.44442,                0.46144,                0.28564,                 1.1183,                0.78248,                 0.8799,               0.004852,               0.004852,               0.004852
                     55,                 1.0321,                0.58446,                0.86322,                0.56659,                0.44562,                0.46186,                0.28495,                 1.1272,                0.78983,                0.88312,               0.004753,               0.004753,               0.004753
                     56,                 1.0268,                0.57839,                0.86263,                0.57866,                0.44531,                0.46337,                0.28579,                 1.1251,                0.78698,                0.88153,               0.004654,               0.004654,               0.004654
                     57,                  1.024,                0.57592,                0.86157,                0.58794,                0.43929,                0.46327,                  0.287,                 1.1173,                0.77978,                0.87994,               0.004555,               0.004555,               0.004555
                     58,                 1.0217,                0.57334,                0.85951,                0.56942,                0.44345,                0.46089,                0.28405,                 1.1225,                0.78651,                 0.8822,               0.004456,               0.004456,               0.004456
                     59,                 1.0128,                 0.5652,                0.85941,                 0.5712,                0.45023,                0.46607,                0.28701,                 1.1201,                0.78548,                0.88056,               0.004357,               0.004357,               0.004357
                     60,                 1.0093,                 0.5631,                0.85848,                0.57873,                0.44317,                0.46351,                0.28598,                 1.1202,                0.79455,                0.88097,               0.004258,               0.004258,               0.004258
                     61,                  1.009,                0.55783,                0.85732,                0.57443,                0.44736,                0.46551,                0.28737,                  1.126,                0.79112,                0.88197,               0.004258,               0.004258,               0.004258
                     62,                  1.004,                0.55588,                0.85683,                0.58245,                0.44953,                0.46456,                0.28587,                 1.1197,                0.79319,                0.88151,                0.00406,                0.00406,                0.00406
                     63,                 1.0034,                0.55457,                0.85603,                0.58301,                0.43926,                0.46212,                0.28512,                  1.119,                0.79805,                0.88011,               0.003961,               0.003961,               0.003961
                     64,                 0.9945,                0.54663,                0.85331,                0.58267,                0.44237,                 0.4633,                0.28544,                 1.1186,                0.79661,                0.88007,               0.003862,               0.003862,               0.003862
                     65,                0.98904,                0.54204,                 0.8538,                0.58172,                0.44398,                0.46482,                0.28632,                 1.1237,                0.79845,                0.88277,               0.003763,               0.003763,               0.003763
                     66,                0.98504,                0.53763,                 0.8538,                0.56917,                0.45267,                0.46645,                0.28671,                 1.1222,                0.79726,                0.88245,               0.003664,               0.003664,               0.003664
                     67,                0.98529,                0.53779,                0.85249,                0.56638,                0.45325,                0.46658,                0.28849,                 1.1202,                0.79958,                0.88197,               0.003565,               0.003565,               0.003565
                     68,                0.98144,                0.53434,                 0.8531,                0.57404,                 0.4493,                0.46782,                0.28923,                 1.1202,                0.79623,                 0.8816,               0.003466,               0.003466,               0.003466
                     69,                0.97834,                0.53068,                0.85104,                0.57765,                0.44335,                0.46346,                0.28649,                 1.1243,                0.79847,                0.88285,               0.003367,               0.003367,               0.003367
                     70,                0.97088,                0.52481,                0.85119,                0.59154,                0.44173,                0.46502,                0.28693,                 1.1221,                0.79818,                0.88195,               0.003268,               0.003268,               0.003268
                     71,                0.96997,                0.52285,                0.84935,                0.58909,                0.43789,                0.46437,                0.28705,                 1.1203,                0.80103,                0.88374,               0.003169,               0.003169,               0.003169
                     72,                0.96265,                0.52008,                0.84793,                0.59538,                0.43769,                 0.4649,                0.28686,                 1.1221,                0.79978,                0.88259,                0.00307,                0.00307,                0.00307
                     73,                0.96224,                0.51616,                0.84924,                0.57207,                0.44425,                0.46305,                0.28601,                 1.1246,                0.80427,                0.88319,               0.002971,               0.002971,               0.002971
                     74,                0.95584,                0.51413,                0.84656,                0.56536,                0.45317,                0.46466,                0.28711,                 1.1255,                0.80151,                0.88321,               0.002872,               0.002872,               0.002872
                     75,                0.95055,                0.50692,                0.84728,                0.57665,                0.44869,                0.46623,                0.28722,                 1.1237,                 0.7995,                0.88349,               0.002773,               0.002773,               0.002773
                     76,                0.93974,                0.50131,                0.84493,                0.58123,                0.44478,                0.46575,                0.28702,                 1.1208,                0.80296,                0.88364,               0.002674,               0.002674,               0.002674
                     77,                 0.9449,                0.50329,                0.84569,                0.57673,                0.44878,                  0.465,                0.28663,                  1.123,                0.80411,                 0.8841,               0.002575,               0.002575,               0.002575
                     78,                 0.9407,                0.49851,                0.84676,                0.56769,                0.45058,                0.46373,                 0.2862,                 1.1222,                0.80568,                0.88289,               0.002476,               0.002476,               0.002476
                     79,                 0.9353,                0.49511,                0.84346,                0.58168,                0.44371,                 0.4629,                0.28551,                 1.1247,                0.80688,                0.88403,               0.002377,               0.002377,               0.002377
                     80,                0.92679,                0.48811,                0.84258,                 0.5594,                0.45015,                0.45969,                0.28389,                 1.1231,                 0.8109,                0.88302,               0.002278,               0.002278,               0.002278
                     81,                0.93017,                0.49151,                0.84161,                0.57292,                0.44849,                 0.4627,                 0.2857,                 1.1235,                 0.8088,                0.88295,               0.002179,               0.002179,               0.002179
                     82,                0.92149,                0.48573,                0.84084,                0.57237,                0.44688,                0.46221,                0.28521,                 1.1229,                0.81287,                0.88258,                0.00208,                0.00208,                0.00208
                     83,                0.92189,                0.48357,                0.84025,                 0.5849,                0.44193,                0.46128,                0.28533,                 1.1246,                0.81451,                0.88324,               0.001981,               0.001981,               0.001981
                     84,                0.91715,                0.48043,                0.84014,                0.58407,                0.43755,                0.46032,                0.28409,                 1.1282,                0.81581,                0.88424,               0.001882,               0.001882,               0.001882
                     85,                0.91098,                0.47816,                0.83897,                 0.5868,                 0.4385,                0.46127,                0.28358,                 1.1288,                0.81789,                0.88466,               0.001783,               0.001783,               0.001783
                     86,                0.90698,                0.47365,                0.83755,                0.58515,                0.43694,                 0.4579,                0.28201,                  1.127,                0.81982,                0.88429,               0.001684,               0.001684,               0.001684
                     87,                0.90663,                0.47254,                0.83813,                0.57763,                0.44158,                0.45804,                0.28243,                 1.1263,                0.81827,                0.88466,               0.001585,               0.001585,               0.001585
                     88,                0.90265,                0.46924,                0.83833,                0.58119,                0.43982,                 0.4582,                 0.2821,                 1.1267,                0.81809,                0.88508,               0.001486,               0.001486,               0.001486
                     89,                0.89836,                0.46681,                0.83656,                0.58802,                0.43234,                0.45742,                0.28301,                 1.1255,                0.81889,                0.88447,               0.001387,               0.001387,               0.001387
                     90,                0.89249,                  0.463,                0.83562,                0.58368,                0.43301,                0.45722,                0.28284,                 1.1274,                0.82334,                0.88508,               0.001288,               0.001288,               0.001288
                     91,                0.89823,                0.45559,                0.83738,                 0.5861,                 0.4328,                0.45524,                0.28027,                 1.1313,                0.82694,                0.88549,               0.001189,               0.001189,               0.001189
                     92,                0.88296,                0.44595,                0.83428,                0.58798,                0.42775,                0.45441,                0.27989,                 1.1343,                0.82703,                 0.8859,                0.00109,                0.00109,                0.00109
                     93,                 0.8771,                0.44253,                0.83361,                0.57213,                0.43742,                0.45398,                0.27919,                 1.1354,                0.83017,                0.88716,               0.000991,               0.000991,               0.000991
                     94,                0.86999,                0.43802,                0.83298,                0.58223,                0.43126,                0.45313,                0.27867,                 1.1368,                0.83398,                 0.8878,               0.000892,               0.000892,               0.000892
                     95,                0.86484,                0.43455,                0.83162,                0.56853,                0.43982,                0.45416,                0.27875,                 1.1381,                0.83633,                 0.8877,               0.000793,               0.000793,               0.000793
                     96,                0.86113,                0.43268,                0.83219,                0.56326,                0.44262,                0.45262,                0.27816,                 1.1387,                0.83692,                0.88793,               0.000694,               0.000694,               0.000694
                     97,                0.85568,                0.42908,                0.83074,                0.56452,                0.44195,                0.45313,                0.27835,                  1.139,                0.83768,                0.88795,               0.000595,               0.000595,               0.000595
                     98,                0.85308,                0.42627,                0.82999,                0.57343,                0.43544,                0.45291,                0.27813,                 1.1399,                0.83884,                0.88838,               0.000496,               0.000496,               0.000496
                     99,                0.84958,                 0.4253,                0.82887,                0.57099,                0.43591,                0.45236,                0.27724,                  1.141,                0.84202,                0.88898,               0.000397,               0.000397,               0.000397
                    100,                0.84464,                0.42201,                0.82905,                0.58254,                0.43152,                0.45192,                0.27733,                 1.1415,                  0.844,                0.88952,               0.000298,               0.000298,               0.000298
